"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/30/2018 08:45:41:518 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"1","50","0","1","24","972.9999999999998","463.6057774056159","509.39422259438413","0","0"
"7","50","0.05","1","23","1047.7","550.965516978049","496.734483021951","0","0"
"2","50","0","1","32","1404.9999999999993","687.033685612633","717.966314387367","0","0"
"6","50","0.05","1","38","1244.0499999999997","631.6928465828112","612.3571534171888","0","0"
"5","50","0","1","36","1562.9999999999995","763.1507138379934","799.8492861620066","0","0"
"4","50","0","1","30","1514.0000000000002","784.4134546548058","729.5865453451942","0","0"
"8","50","0.05","1","19","801.9500000000002","401.7764026822849","400.17359731771495","0","0"
"6","50","0.05","1","39","1290.2000000000003","656.6928465828111","633.5071534171889","0","0"
"5","50","0","1","37","1649.9999999999998","808.8649995522794","841.1350004477208","0","0"
"3","50","0","1","29","1031","484.353900911311","546.646099088689","0","0"
"1","50","0","1","25","1024","487.60577740561587","536.394222594384","0","0"
"7","50","0.05","1","24","1055.8999999999999","551.915516978049","503.984483021951","0","0"
"2","50","0","1","33","1419.9999999999995","688.0336856126329","731.9663143873671","0","0"
"6","50","0.05","1","40","1298.1499999999999","656.6928465828113","641.4571534171889","0","0"
"4","50","0","1","31","1601.0000000000002","835.3225455638969","765.677454436103","0","0"
"8","50","0.05","1","20","853.2000000000003","428.2309481368305","424.96905186316957","0","0"
"5","50","0","1","38","1699","832.8649995522793","866.1350004477207","0","0"
"7","50","0.05","1","25","1067.8500000000001","552.865516978049","514.9844830219511","0","0"
"6","50","0.05","1","41","1347.3500000000001","679.7697696597344","667.5802303402658","0","0"
"2","50","0","1","34","1471.9999999999995","710.2559078348552","761.7440921651447","0","0"
"3","50","0","1","30","1160.0000000000005","560.0907430165744","599.9092569834258","0","0"
"1","50","0","1","26","1031.9999999999998","487.60577740561587","544.394222594384","0","0"
"7","50","0.05","1","26","1116.15","575.6836987962308","540.4663012037694","0","0"
"6","50","0.05","1","42","1392.4999999999998","702.8466927366571","689.6533072633426","0","0"
"4","50","0","1","32","1689.9999999999998","884.0181977378099","805.9818022621898","0","0"
"2","50","0","1","35","1519.9999999999986","732.4781300570777","787.5218699429224","0","0"
"7","50","0.05","1","27","1168.5","601.9468566909676","566.5531433090323","0","0"
"1","50","0","1","27","1117","530.6827004825391","586.3172995174612","0","0"
"6","50","0.05","1","43","1522.4500000000003","774.4256401050783","748.0243598949215","0","0"
"8","50","0.05","1","21","979.3000000000001","496.4031703590526","482.89682964094726","0","0"
"3","50","0","1","31","1243","602.829873451357","640.1701265486431","0","0"
"2","50","0","1","36","1570","757.0075418217833","812.9924581782166","0","0"
"5","50","0","1","39","1742.999999999999","853.7345647696707","889.2654352303298","0","0"
"7","50","0.05","1","28","1215.5499999999997","629.6135233576343","585.9364766423658","0","0"
"6","50","0.05","1","44","1652.5000000000002","859.0410247204628","793.4589752795368","0","0"
"1","50","0","1","28","1166.0000000000002","560.0160338158723","605.9839661841279","0","0"
"4","50","0","1","33","1693.9999999999998","884.0181977378099","809.98180226219","0","0"
"2","50","0","1","37","1616.9999999999998","777.0075418217835","839.9924581782166","0","0"
"7","50","0.05","1","29","1262.8500000000004","655.8766812523711","606.9733187476289","0","0"
"8","50","0.05","1","22","1025.7","518.8916318975142","506.8083681024857","0","0"
"5","50","0","1","40","1830.9999999999993","899.4488504839562","931.5511495160438","0","0"
"3","50","0","1","32","1291.0000000000005","626.4385691035308","664.5614308964693","0","0"
"2","50","0","1","38","1624.9999999999998","778.0075418217834","846.9924581782167","0","0"
"7","50","0.05","1","30","1312.0999999999997","679.733824109514","632.366175890486","0","0"
"6","50","0.05","1","45","1699.6999999999998","886.3137519931902","813.3862480068098","0","0"
"1","50","0","1","29","1175","560.0160338158723","614.9839661841278","0","0"
"5","50","0","1","41","1958.0000000000002","968.6662417883042","989.3337582116959","0","0"
"4","50","0","1","34","1743.9999999999989","904.0658167854292","839.9341832145708","0","0"
"2","50","0","1","39","1633.9999999999998","779.0075418217835","854.9924581782166","0","0"
"7","50","0.05","1","31","1438.15","753.2671574428474","684.8828425571527","0","0"
"6","50","0.05","1","46","1746.7000000000003","912.9304186598569","833.769581340143","0","0"
"8","50","0.05","1","23","1038.8","519.8916318975142","518.9083681024856","0","0"
"5","50","0","1","42","1966","968.6662417883042","997.3337582116961","0","0"
"2","50","0","1","40","1683.0000000000002","801.0601734007306","881.9398265992694","0","0"
"7","50","0.05","1","32","1482.2","773.2147764904665","708.9852235095336","0","0"
"3","50","0","1","33","1301.0000000000002","627.4385691035309","673.5614308964692","0","0"
"6","50","0.05","1","47","1874.9","979.4066091360473","895.4933908639525","0","0"
"5","50","0","1","43","1978","968.6662417883043","1009.3337582116959","0","0"
"2","50","0","1","41","1770.0000000000002","843.5416548822121","926.4583451177879","0","0"
"7","50","0.05","1","33","1531.5","796.1647764904666","735.3352235095338","0","0"
"4","50","0","1","35","1830","950.732483452096","879.2675165479043","0","0"
"6","50","0.05","1","48","1884.1500000000005","979.4066091360475","904.7433908639526","0","0"
"1","50","0","1","30","1182.9999999999998","560.0160338158723","622.9839661841277","0","0"
"5","50","0","1","44","2071.0000000000005","1026.8480599701222","1044.1519400298778","0","0"
"2","50","0","1","42","1898.9999999999993","912.7769489998594","986.2230510001407","0","0"
"6","50","0.05","1","49","1934.2499999999998","1010.9355565044684","923.3144434955316","0","0"
"3","50","0","1","34","1307","627.4385691035308","679.5614308964692","0","0"
