"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary mutation-magnitude"
"05/07/2018 23:07:05:844 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","percent-to-replace","N","mutation-magnitude","tau","p","num-variants","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"6","1","50","0.05","0","0","1","27","1237.0000000000002","1","18","31"
"8","1","50","0.05","0","0","1","26","1195.0000000000002","4","21","25"
"4","1","50","0","0","0","1","27","1216.0000000000002","0","33","17"
"3","1","50","0","0","0","1","25","620.0000000000002","2","20","28"
"5","1","50","0","0","0","1","37","1770.0000000000005","2","24","24"
"8","1","50","0.05","0","0","1","27","1199","4","21","25"
"7","1","50","0.05","0","0","1","36","1764.9999999999995","4","18","28"
"3","1","50","0","0","0","1","26","622","2","20","28"
"6","1","50","0.05","0","0","1","28","1239.0000000000007","2","18","30"
"1","1","50","0","0","0","1","19","871.0000000000002","3","18","29"
"2","1","50","0","0","0","1","29","1509","5","28","17"
"5","1","50","0","0","0","1","38","1812.0000000000007","2","24","24"
"8","1","50","0.05","0","0","1","28","1244.0000000000002","5","19","26"
"4","1","50","0","0","0","1","28","1256.000000000001","0","31","19"
"1","1","50","0","0","0","1","20","914","3","18","29"
"2","1","50","0","0","0","1","30","1554","5","28","17"
"6","1","50","0.05","0","0","1","29","1360.0000000000005","1","20","29"
"8","1","50","0.05","0","0","1","29","1248.9999999999998","5","21","24"
"4","1","50","0","0","0","1","29","1336.000000000001","0","33","17"
"3","1","50","0","0","0","1","27","664.0000000000001","2","20","28"
"2","1","50","0","0","0","1","31","1599.0000000000005","5","28","17"
"7","1","50","0.05","0","0","1","37","1810.9999999999993","6","16","28"
"1","1","50","0","0","0","1","21","957.0000000000001","3","18","29"
"6","1","50","0.05","0","0","1","30","1403.000000000001","3","18","29"
"5","1","50","0","0","0","1","39","1893.9999999999998","2","24","24"
"2","1","50","0","0","0","1","32","1643.999999999999","5","28","17"
"8","1","50","0.05","0","0","1","30","1373","4","21","25"
"1","1","50","0","0","0","1","22","1040","3","18","29"
"4","1","50","0","0","0","1","30","1456.0000000000005","0","31","19"
"7","1","50","0.05","0","0","1","38","1817.9999999999998","7","16","27"
"6","1","50","0.05","0","0","1","31","1444.0000000000005","1","22","27"
