"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"05/01/2018 08:03:16:915 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"5","50","0","1","33","1075.9999999999998","1075.9999999999998","0","0","0"
"7","50","0.05","1","34","1366.8500000000004","1366.8500000000004","0","0","0"
"3","50","0","1","29","955.9999999999999","955.9999999999999","0","0","0"
"2","50","0","1","29","948.9999999999994","948.9999999999994","0","0","0"
"4","50","0","1","23","804.9999999999997","804.9999999999997","0","0","0"
"8","50","0.05","1","29","1054.1500000000003","1054.1500000000003","0","0","0"
"1","50","0","1","24","1164.0000000000005","1164.0000000000005","0","0","0"
"6","50","0.05","1","33","1644.6499999999994","1644.6499999999994","0","0","0"
"3","50","0","1","30","1038","1038","0","0","0"
"2","50","0","1","30","1071.0000000000002","1071.0000000000002","0","0","0"
"4","50","0","1","24","845.9999999999997","845.9999999999997","0","0","0"
"7","50","0.05","1","35","1407.8499999999997","1407.8499999999997","0","0","0"
"1","50","0","1","25","1205","1205","0","0","0"
"5","50","0","1","34","1118.0000000000002","1118.0000000000002","0","0","0"
"3","50","0","1","31","1039.9999999999998","1039.9999999999998","0","0","0"
"2","50","0","1","31","1193","1193","0","0","0"
"4","50","0","1","25","927.0000000000001","927.0000000000001","0","0","0"
"6","50","0.05","1","34","1646.6499999999994","1646.6499999999994","0","0","0"
"1","50","0","1","26","1206","1206","0","0","0"
"5","50","0","1","35","1160","1160","0","0","0"
"3","50","0","1","32","1042","1042","0","0","0"
"2","50","0","1","32","1315.0000000000002","1315.0000000000002","0","0","0"
"4","50","0","1","26","1048.0000000000002","1048.0000000000002","0","0","0"
"2","50","0","1","33","1317","1317","0","0","0"
"1","50","0","1","27","1207","1207","0","0","0"
"3","50","0","1","33","1043.9999999999998","1043.9999999999998","0","0","0"
"4","50","0","1","27","1089.0000000000007","1089.0000000000007","0","0","0"
"8","50","0.05","1","30","1097.1500000000008","1097.1500000000008","0","0","0"
"6","50","0.05","1","35","1688.6500000000003","1688.6500000000003","0","0","0"
"7","50","0.05","1","36","1528.8500000000008","1528.8500000000008","0","0","0"
"3","50","0","1","34","1086.0000000000005","1086.0000000000005","0","0","0"
"1","50","0","1","28","1328","1328","0","0","0"
"5","50","0","1","36","1281.9999999999998","1281.9999999999998","0","0","0"
"2","50","0","1","34","1319","1319","0","0","0"
"8","50","0.05","1","31","1140.1499999999996","1140.1499999999996","0","0","0"
"6","50","0.05","1","36","1690.6499999999994","1690.6499999999994","0","0","0"
"3","50","0","1","35","1128.0000000000007","1128.0000000000007","0","0","0"
"7","50","0.05","1","37","1649.85","1649.85","0","0","0"
"1","50","0","1","29","1329.0000000000005","1329.0000000000005","0","0","0"
"4","50","0","1","28","1090.0000000000011","1090.0000000000011","0","0","0"
"8","50","0.05","1","32","1263.15","1263.15","0","0","0"
"2","50","0","1","35","1321","1321","0","0","0"
"6","50","0.05","1","37","1732.65","1732.65","0","0","0"
"5","50","0","1","37","1323.9999999999995","1323.9999999999995","0","0","0"
"7","50","0.05","1","38","1650.8499999999997","1650.8499999999997","0","0","0"
"6","50","0.05","1","38","1774.6499999999999","1774.6499999999999","0","0","0"
"8","50","0.05","1","33","1266.1499999999996","1266.1499999999996","0","0","0"
"2","50","0","1","36","1323.0000000000002","1323.0000000000002","0","0","0"
"5","50","0","1","38","1366","1366","0","0","0"
"7","50","0.05","1","39","1771.8499999999992","1771.8499999999992","0","0","0"
"4","50","0","1","29","1091.000000000001","1091.000000000001","0","0","0"
"8","50","0.05","1","34","1309.1499999999992","1309.1499999999992","0","0","0"
"2","50","0","1","37","1364.9999999999995","1364.9999999999995","0","0","0"
"5","50","0","1","39","1368.0000000000005","1368.0000000000005","0","0","0"
"3","50","0","1","36","1170.0000000000007","1170.0000000000007","0","0","0"
"7","50","0.05","1","40","1852.8499999999992","1852.8499999999992","0","0","0"
"6","50","0.05","1","39","1816.6499999999996","1816.6499999999996","0","0","0"
"1","50","0","1","30","1410.0000000000002","1410.0000000000002","0","0","0"
"5","50","0","1","40","1370.0000000000002","1370.0000000000002","0","0","0"
"2","50","0","1","38","1366.9999999999995","1366.9999999999995","0","0","0"
"7","50","0.05","1","41","1933.8499999999985","1933.8499999999985","0","0","0"
"6","50","0.05","1","40","1858.6500000000003","1858.6500000000003","0","0","0"
"4","50","0","1","30","1132.0000000000005","1132.0000000000005","0","0","0"
"8","50","0.05","1","35","1352.1500000000003","1352.1500000000003","0","0","0"
"2","50","0","1","39","1368.9999999999998","1368.9999999999998","0","0","0"
"7","50","0.05","1","42","1974.8500000000006","1974.8500000000006","0","0","0"
"5","50","0","1","41","1372.0000000000005","1372.0000000000005","0","0","0"
"6","50","0.05","1","41","1860.6499999999999","1860.6499999999999","0","0","0"
"3","50","0","1","37","1212.0000000000007","1212.0000000000007","0","0","0"
"1","50","0","1","31","1451.0000000000002","1451.0000000000002","0","0","0"
"4","50","0","1","31","1133.0000000000005","1133.0000000000005","0","0","0"
"7","50","0.05","1","43","2095.8499999999995","2095.8499999999995","0","0","0"
"2","50","0","1","40","1451","1451","0","0","0"
"8","50","0.05","1","36","1435.1500000000003","1435.1500000000003","0","0","0"
"6","50","0.05","1","42","1862.65","1862.65","0","0","0"
"3","50","0","1","38","1254.0000000000002","1254.0000000000002","0","0","0"
"4","50","0","1","32","1214.0000000000002","1214.0000000000002","0","0","0"
"1","50","0","1","32","1492.0000000000002","1492.0000000000002","0","0","0"
"8","50","0.05","1","37","1438.1500000000005","1438.1500000000005","0","0","0"
"7","50","0.05","1","44","2136.8500000000004","2136.8500000000004","0","0","0"
"6","50","0.05","1","43","1864.65","1864.65","0","0","0"
"3","50","0","1","39","1256.0000000000007","1256.0000000000007","0","0","0"
"8","50","0.05","1","38","1441.1500000000003","1441.1500000000003","0","0","0"
"5","50","0","1","42","1454","1454","0","0","0"
"7","50","0.05","1","45","2257.85","2257.85","0","0","0"
"1","50","0","1","33","1612.9999999999995","1612.9999999999995","0","0","0"
"6","50","0.05","1","44","1866.65","1866.65","0","0","0"
"3","50","0","1","40","1258.0000000000005","1258.0000000000005","0","0","0"
"8","50","0.05","1","39","1564.1499999999999","1564.1499999999999","0","0","0"
"2","50","0","1","41","1493.0000000000011","1493.0000000000011","0","0","0"
"7","50","0.05","1","46","2298.8499999999995","2298.8499999999995","0","0","0"
"5","50","0","1","43","1495.9999999999993","1495.9999999999993","0","0","0"
"3","50","0","1","41","1339.9999999999998","1339.9999999999998","0","0","0"
"6","50","0.05","1","45","1948.6499999999992","1948.6499999999992","0","0","0"
"1","50","0","1","34","1653.9999999999993","1653.9999999999993","0","0","0"
"4","50","0","1","33","1215.0000000000007","1215.0000000000007","0","0","0"
"8","50","0.05","1","40","1607.1500000000012","1607.1500000000012","0","0","0"
"7","50","0.05","1","47","2419.85","2419.85","0","0","0"
"3","50","0","1","42","1382.0000000000005","1382.0000000000005","0","0","0"
"6","50","0.05","1","46","1990.649999999999","1990.649999999999","0","0","0"
"2","50","0","1","42","1614.999999999999","1614.999999999999","0","0","0"
"1","50","0","1","35","1654.9999999999995","1654.9999999999995","0","0","0"
"4","50","0","1","34","1256.000000000001","1256.000000000001","0","0","0"
"7","50","0.05","1","48","2460.8500000000004","2460.8500000000004","0","0","0"
"3","50","0","1","43","1384.0000000000005","1384.0000000000005","0","0","0"
"6","50","0.05","1","47","1992.6499999999992","1992.6499999999992","0","0","0"
"8","50","0.05","1","41","1610.1500000000012","1610.1500000000012","0","0","0"
"5","50","0","1","44","1538.0000000000002","1538.0000000000002","0","0","0"
"4","50","0","1","35","1257.0000000000007","1257.0000000000007","0","0","0"
"7","50","0.05","1","49","2461.8500000000004","2461.8500000000004","0","0","0"
"2","50","0","1","43","1616.999999999999","1616.999999999999","0","0","0"
"1","50","0","1","36","1696.0000000000002","1696.0000000000002","0","0","0"
"3","50","0","1","44","1506.0000000000005","1506.0000000000005","0","0","0"
"6","50","0.05","1","48","1994.6499999999994","1994.6499999999994","0","0","0"
"5","50","0","1","45","1580.0000000000005","1580.0000000000005","0","0","0"
"7","50","0.05","1","50","2462.8500000000004","2462.8500000000004","0","0","0"
"8","50","0.05","1","42","1613.1500000000012","1613.1500000000012","0","0","0"
"1","50","0","1","37","1736.9999999999995","1736.9999999999995","0","0","0"
"3","50","0","1","45","1548.000000000001","1548.000000000001","0","0","0"
"6","50","0.05","1","49","2116.6499999999996","2116.6499999999996","0","0","0"
"5","50","0","1","46","1662.0000000000005","1662.0000000000005","0","0","0"
"7","50","0.05","1","51","2503.850000000001","2503.850000000001","0","0","0"
"4","50","0","1","36","1258.0000000000002","1258.0000000000002","0","0","0"
"6","50","0.05","1","50","2118.65","2118.65","0","0","0"
"2","50","0","1","44","1658.9999999999998","1658.9999999999998","0","0","0"
"7","50","0.05","1","52","2624.8500000000004","2624.8500000000004","0","0","0"
"6","50","0.05","1","51","2120.6499999999996","2120.6499999999996","0","0","0"
"5","50","0","1","47","1704.0000000000002","1704.0000000000002","0","0","0"
"8","50","0.05","1","43","1736.15","1736.15","0","0","0"
"4","50","0","1","37","1339","1339","0","0","0"
"3","50","0","1","46","1589.9999999999998","1589.9999999999998","0","0","0"
"6","50","0.05","1","52","2242.649999999999","2242.649999999999","0","0","0"
"5","50","0","1","48","1746.0000000000005","1746.0000000000005","0","0","0"
"8","50","0.05","1","44","1739.1500000000003","1739.1500000000003","0","0","0"
"1","50","0","1","38","1737.9999999999993","1737.9999999999993","0","0","0"
"7","50","0.05","1","53","2625.850000000001","2625.850000000001","0","0","0"
"2","50","0","1","45","1700.9999999999989","1700.9999999999989","0","0","0"
"4","50","0","1","38","1339.9999999999995","1339.9999999999995","0","0","0"
