"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/05/2018 17:04:01:312 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"4","50","0","0","47","3248.9999999999995","38","4","8"
"1","50","0","0","34","2286.0000000000005","41","5","4"
"6","50","0.05","0","43","2805.2000000000007","41","3","6"
"3","50","0","0","37","2615","36","7","7"
"5","50","0","0","40","2604.0000000000014","37","9","4"
"2","50","0","0","57","4286","39","9","2"
"8","50","0.05","0","39","3230.8","38","3","9"
"6","50","0.05","0","44","2878.6","34","8","8"
"1","50","0","0","35","2371.999999999999","46","3","1"
"3","50","0","0","38","2688","33","8","9"
"4","50","0","0","48","3328","39","4","7"
"6","50","0.05","0","45","3030.699999999999","33","10","7"
"8","50","0.05","0","40","3310.350000000001","40","3","7"
"1","50","0","0","36","2455","43","3","4"
"5","50","0","0","41","2764.000000000001","40","5","5"
"7","50","0.05","0","41","3401.7","37","7","6"
"4","50","0","0","49","3484.9999999999995","37","6","7"
"6","50","0.05","0","46","3146.1000000000013","36","5","9"
"2","50","0","0","58","4369","43","4","3"
"1","50","0","0","37","2535.0000000000005","40","3","7"
"5","50","0","0","42","2844","40","5","5"
"7","50","0.05","0","42","3475.0499999999993","34","7","9"
"3","50","0","0","39","2725","37","7","6"
"6","50","0.05","0","47","3263.3999999999996","38","6","6"
"5","50","0","0","43","2963.0000000000005","39","4","7"
"1","50","0","0","38","2573","38","4","8"
"4","50","0","0","50","3523","38","9","3"
"8","50","0.05","0","41","3349.85","40","6","4"
"7","50","0.05","0","43","3506.1000000000004","32","11","7"
"6","50","0.05","0","48","3418.9500000000007","36","7","7"
"3","50","0","0","40","2803.0000000000014","38","8","4"
"1","50","0","0","39","2647","34","8","8"
"8","50","0.05","0","42","3384.05","35","6","9"
"2","50","0","0","59","4449.000000000002","40","5","5"
"5","50","0","0","44","3039","36","7","7"
"4","50","0","0","51","3679.000000000001","36","5","9"
"3","50","0","0","41","2879","36","11","3"
"7","50","0.05","0","44","3620.4000000000005","35","10","5"
"1","50","0","0","40","2719.9999999999995","33","8","9"
"5","50","0","0","45","3113.0000000000005","34","10","6"
"8","50","0.05","0","43","3458.45","35","8","7"
"4","50","0","0","52","3753.9999999999995","35","9","6"
"6","50","0.05","0","49","3493.3999999999996","35","6","9"
"3","50","0","0","42","2911","32","11","7"
"7","50","0.05","0","45","3776.8500000000004","37","9","4"
"8","50","0.05","0","44","3539.8500000000004","42","3","5"
"4","50","0","0","53","3825.9999999999995","32","8","10"
"5","50","0","0","46","3190.000000000002","37","5","8"
"6","50","0.05","0","50","3565.4500000000007","33","8","9"
"3","50","0","0","43","2994.000000000001","43","5","2"
"8","50","0.05","0","45","3620.4000000000015","41","6","3"
"2","50","0","0","60","4486","37","6","7"
"5","50","0","0","47","3262.0000000000005","32","7","11"
"6","50","0.05","0","51","3638.6","34","7","9"
"3","50","0","0","44","3068","34","10","6"
"7","50","0.05","0","46","3806.2","30","10","10"
"2","50","0","0","61","4600","34","10","6"
"8","50","0.05","0","46","3777.85","38","4","8"
"4","50","0","0","54","3898.0000000000005","32","12","6"
"3","50","0","0","45","3150.000000000001","42","2","6"
