"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/01/2018 08:04:47:073 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"4","50","0","1","27","1272.0000000000002","8","21","21"
"2","50","0","1","44","2064.9999999999995","1","22","27"
"3","50","0","1","33","1676.9999999999998","2","18","30"
"8","50","0.05","1","35","1200.7500000000005","1","23","26"
"5","50","0","1","28","1516.0000000000011","2","29","19"
"4","50","0","1","28","1358.0000000000002","6","24","20"
"3","50","0","1","34","1759.0000000000005","2","19","29"
"2","50","0","1","45","2145.9999999999977","1","22","27"
"1","50","0","1","19","691.9999999999994","2","27","21"
"7","50","0.05","1","25","950.9499999999996","1","24","25"
"8","50","0.05","1","36","1201.7500000000002","1","23","26"
"5","50","0","1","29","1558.0000000000007","2","29","19"
"4","50","0","1","29","1365","7","20","23"
"6","50","0.05","1","39","1643.3499999999992","3","23","24"
"8","50","0.05","1","37","1202.7500000000002","1","23","26"
"3","50","0","1","35","1761.0000000000007","2","18","30"
"5","50","0","1","30","1600.000000000001","2","29","19"
"2","50","0","1","46","2146.9999999999977","1","22","27"
"1","50","0","1","20","693.9999999999995","2","28","20"
"3","50","0","1","36","1763.0000000000005","2","19","29"
"7","50","0.05","1","26","991.9500000000003","1","24","25"
"8","50","0.05","1","38","1243.75","1","23","26"
"2","50","0","1","47","2187.9999999999986","1","22","27"
"5","50","0","1","31","1602.0000000000016","2","29","19"
"6","50","0.05","1","40","1726.3500000000006","3","23","24"
"1","50","0","1","21","695.9999999999995","2","27","21"
"4","50","0","1","30","1413.0000000000007","8","21","21"
"3","50","0","1","37","1884.9999999999995","2","18","30"
"7","50","0.05","1","27","992.95","1","24","25"
"8","50","0.05","1","39","1364.75","1","23","26"
"5","50","0","1","32","1644.0000000000002","2","29","19"
"2","50","0","1","48","2228.9999999999986","1","22","27"
"8","50","0.05","1","40","1405.7499999999998","1","23","26"
"7","50","0.05","1","28","993.9500000000004","1","24","25"
"3","50","0","1","38","1927","2","19","29"
"6","50","0.05","1","41","1809.3499999999997","3","23","24"
"5","50","0","1","33","1766.0000000000002","2","29","19"
"2","50","0","1","49","2229.9999999999986","1","22","27"
"4","50","0","1","31","1459.0000000000007","6","24","20"
"8","50","0.05","1","41","1406.7499999999998","1","23","26"
"3","50","0","1","39","2049","2","18","30"
"7","50","0.05","1","29","994.9500000000002","1","24","25"
"6","50","0.05","1","42","1932.3500000000004","3","23","24"
"5","50","0","1","34","1808.000000000001","2","29","19"
"2","50","0","1","50","2230.999999999998","1","22","27"
"1","50","0","1","22","817.9999999999997","2","28","20"
"3","50","0","1","40","2170.9999999999995","2","19","29"
"6","50","0.05","1","43","2055.35","3","23","24"
"8","50","0.05","1","42","1447.75","1","23","26"
"5","50","0","1","35","1810.0000000000007","2","29","19"
"2","50","0","1","51","2271.999999999998","1","22","27"
"4","50","0","1","32","1466.000000000001","7","20","23"
"3","50","0","1","41","2213","2","18","30"
"6","50","0.05","1","44","2098.3500000000013","3","23","24"
"8","50","0.05","1","43","1528.75","1","23","26"
"5","50","0","1","36","1852","2","29","19"
"2","50","0","1","52","2393","1","22","27"
"7","50","0.05","1","30","1035.95","1","24","25"
"1","50","0","1","23","819.9999999999997","2","27","21"
"4","50","0","1","33","1474.000000000001","8","21","21"
"6","50","0.05","1","45","2101.3500000000017","3","23","24"
"3","50","0","1","42","2214.999999999999","2","19","29"
"8","50","0.05","1","44","1569.7499999999995","1","23","26"
"5","50","0","1","37","1854.0000000000007","2","29","19"
"7","50","0.05","1","31","1036.95","1","24","25"
"4","50","0","1","34","1520.0000000000005","6","24","20"
"6","50","0.05","1","46","2144.3500000000004","3","23","24"
"3","50","0","1","43","2257.0000000000005","2","18","30"
"2","50","0","1","53","2394","1","22","27"
"5","50","0","1","38","1975.9999999999995","2","29","19"
"8","50","0.05","1","45","1650.75","1","23","26"
"4","50","0","1","35","1646.9999999999993","7","20","23"
"6","50","0.05","1","47","2187.350000000001","3","23","24"
"3","50","0","1","44","2339.000000000001","2","19","29"
"7","50","0.05","1","32","1157.9500000000003","1","24","25"
"5","50","0","1","39","2018.000000000001","2","29","19"
"1","50","0","1","24","901.9999999999997","2","28","20"
"8","50","0.05","1","46","1691.7499999999995","1","23","26"
"7","50","0.05","1","33","1238.9499999999996","1","24","25"
"2","50","0","1","54","2395","1","22","27"
"6","50","0.05","1","48","2190.3500000000013","3","23","24"
"4","50","0","1","36","1655","8","21","21"
"5","50","0","1","40","2059.9999999999995","2","29","19"
"3","50","0","1","45","2461.0000000000005","2","18","30"
"2","50","0","1","55","2396","1","22","27"
"1","50","0","1","25","903.9999999999995","2","27","21"
"6","50","0.05","1","49","2193.3500000000013","3","23","24"
"5","50","0","1","41","2182.000000000001","2","29","19"
"7","50","0.05","1","34","1359.9500000000005","1","24","25"
"3","50","0","1","46","2503","2","19","29"
"8","50","0.05","1","47","1812.7500000000002","1","23","26"
"2","50","0","1","56","2437.0000000000005","1","22","27"
"5","50","0","1","42","2184.000000000001","2","29","19"
"3","50","0","1","47","2544.9999999999995","2","18","30"
"1","50","0","1","26","1025.9999999999998","2","28","20"
"7","50","0.05","1","35","1360.9500000000003","1","24","25"
"4","50","0","1","37","1741","6","24","20"
"2","50","0","1","57","2478","1","22","27"
"8","50","0.05","1","48","1813.7500000000005","1","23","26"
"5","50","0","1","43","2186.000000000001","2","29","19"
"3","50","0","1","48","2667","2","19","29"
"1","50","0","1","27","1068.0000000000002","2","27","21"
"2","50","0","1","58","2479","1","22","27"
"8","50","0.05","1","49","1854.75","1","23","26"
"4","50","0","1","38","1827.999999999999","7","20","23"
"3","50","0","1","49","2708.9999999999995","2","18","30"
"6","50","0.05","1","50","2276.350000000001","3","23","24"
"5","50","0","1","44","2188.000000000001","2","29","19"
"2","50","0","1","59","2519.999999999999","1","22","27"
"7","50","0.05","1","36","1481.9500000000003","1","24","25"
"3","50","0","1","50","2751.000000000001","2","19","29"
"4","50","0","1","39","1835.9999999999995","8","21","21"
"1","50","0","1","28","1109.9999999999998","2","28","20"
"6","50","0.05","1","51","2279.3500000000004","3","23","24"
"2","50","0","1","60","2641.000000000002","1","22","27"
"3","50","0","1","51","2752.9999999999995","2","18","30"
"4","50","0","1","40","1841.9999999999993","6","24","20"
"7","50","0.05","1","37","1482.9499999999998","1","24","25"
"5","50","0","1","45","2190.0000000000014","2","29","19"
"8","50","0.05","1","50","1935.7499999999998","1","23","26"
"2","50","0","1","61","2642.000000000002","1","22","27"
"3","50","0","1","52","2754.9999999999995","2","19","29"
"4","50","0","1","41","1848.9999999999998","7","20","23"
"6","50","0.05","1","52","2322.35","3","23","24"
"1","50","0","1","29","1112","2","27","21"
"7","50","0.05","1","38","1523.95","1","24","25"
"3","50","0","1","53","2796.9999999999995","2","18","30"
"2","50","0","1","62","2643.000000000002","1","22","27"
"5","50","0","1","46","2311.9999999999995","2","29","19"
"4","50","0","1","42","1896.9999999999995","8","21","21"
"1","50","0","1","30","1113.9999999999998","2","28","20"
"7","50","0.05","1","39","1644.9500000000012","1","24","25"
"4","50","0","1","43","1943","6","24","20"
"2","50","0","1","63","2763.9999999999986","1","22","27"
"8","50","0.05","1","51","1936.7500000000002","1","23","26"
"5","50","0","1","47","2354.0000000000005","2","29","19"
"7","50","0.05","1","40","1645.950000000001","1","24","25"
"6","50","0.05","1","53","2325.3500000000004","3","23","24"
"2","50","0","1","64","2764.9999999999986","1","22","27"
"5","50","0","1","48","2356","2","29","19"
"4","50","0","1","44","1950","7","20","23"
"3","50","0","1","54","2798.9999999999995","2","19","29"
"2","50","0","1","65","2805.9999999999995","1","22","27"
"7","50","0.05","1","41","1686.9500000000014","1","24","25"
"5","50","0","1","49","2358","2","29","19"
"4","50","0","1","45","1958","8","21","21"
"6","50","0.05","1","54","2448.349999999999","3","23","24"
"2","50","0","1","66","2807","1","22","27"
"3","50","0","1","55","2801.000000000001","2","18","30"
"7","50","0.05","1","42","1727.95","1","24","25"
"1","50","0","1","31","1155.9999999999993","2","27","21"
"2","50","0","1","67","2848.000000000001","1","22","27"
"3","50","0","1","56","2882.9999999999995","2","19","29"
"7","50","0.05","1","43","1768.9500000000012","1","24","25"
"6","50","0.05","1","55","2491.35","3","23","24"
"8","50","0.05","1","52","2017.7500000000002","1","23","26"
"1","50","0","1","32","1278.0000000000005","2","28","20"
"3","50","0","1","57","2964.9999999999995","2","18","30"
"2","50","0","1","68","2889.0000000000005","1","22","27"
"7","50","0.05","1","44","1809.9500000000014","1","24","25"
"6","50","0.05","1","56","2494.35","3","23","24"
"8","50","0.05","1","53","2018.7500000000005","1","23","26"
"4","50","0","1","46","2003.9999999999993","6","24","20"
"3","50","0","1","58","3007.000000000001","2","19","29"
"2","50","0","1","69","2890.0000000000005","1","22","27"
"1","50","0","1","33","1400","2","27","21"
"7","50","0.05","1","45","1810.9500000000016","1","24","25"
"6","50","0.05","1","57","2497.35","3","23","24"
"8","50","0.05","1","54","2059.7500000000014","1","23","26"
"5","50","0","1","50","2400.0000000000005","2","29","19"
"3","50","0","1","59","3129.0000000000005","2","18","30"
"2","50","0","1","70","2891.0000000000005","1","22","27"
"7","50","0.05","1","46","1931.9499999999996","1","24","25"
"6","50","0.05","1","58","2500.35","3","23","24"
"1","50","0","1","34","1401.9999999999995","2","28","20"
"8","50","0.05","1","55","2180.750000000001","1","23","26"
"3","50","0","1","60","3171.000000000001","2","19","29"
"5","50","0","1","51","2442","2","29","19"
"4","50","0","1","47","2051","7","20","23"
"2","50","0","1","71","2892.0000000000005","1","22","27"
"7","50","0.05","1","47","1932.9499999999994","1","24","25"
"8","50","0.05","1","56","2181.75","1","23","26"
"1","50","0","1","35","1444.0000000000002","2","27","21"
"6","50","0.05","1","59","2583.3500000000013","3","23","24"
"3","50","0","1","61","3293.0000000000005","2","18","30"
"2","50","0","1","72","2933.0000000000005","1","22","27"
"7","50","0.05","1","48","1973.9500000000005","1","24","25"
"8","50","0.05","1","57","2182.750000000001","1","23","26"
"6","50","0.05","1","60","2586.3500000000017","3","23","24"
