"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:30:23:341 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"4","50","0","0.5","50","3278","1376.6161344675274","1901.3838655324723"
"5","50","0","0.5","26","1381.0000000000002","381.49890632243574","999.5010936775642"
"8","50","0.05","0.5","13","1179.6499999999999","456.8375901875902","722.8124098124098"
"6","50","0.05","0.5","43","2409.3500000000004","804.2610488754453","1605.0889511245546"
"7","50","0.05","0.5","35","2437.7500000000005","1187.653582038876","1250.0964179611237"
"2","50","0","0.5","10","648","325.5252525252525","322.47474747474746"
"1","50","0","0.5","26","1338.9999999999995","624.5796277796279","714.4203722203722"
"5","50","0","0.5","27","1396.0000000000002","388.49890632243563","1007.5010936775641"
"7","50","0.05","0.5","36","2458.999999999999","1204.6035820388759","1254.3964179611237"
"3","50","0","0.5","4","387.00000000000017","192.11111111111111","194.8888888888889"
"6","50","0.05","0.5","44","2503.3499999999995","814.4148950292914","1688.9351049707082"
"5","50","0","0.5","28","1408","392.4989063224357","1015.5010936775644"
"8","50","0.05","0.5","14","1209.2499999999998","477.28759018759024","731.9624098124098"
"1","50","0","0.5","27","1371.9999999999995","648.5796277796279","723.4203722203722"
"7","50","0.05","0.5","37","2599.9499999999994","1266.8381974234915","1333.1118025765084"
"5","50","0","0.5","29","1422.9999999999998","396.4989063224357","1026.501093677564"
"2","50","0","0.5","11","752.9999999999999","359.52525252525254","393.47474747474746"
"1","50","0","0.5","28","1443.9999999999998","675.579627779628","768.4203722203723"
"7","50","0.05","0.5","38","2668.4499999999994","1299.1381974234914","1369.3118025765086"
"5","50","0","0.5","30","1439.0000000000002","397.4989063224357","1041.5010936775639"
"2","50","0","0.5","12","777","372.5252525252525","404.4747474747475"
"3","50","0","0.5","5","415.00000000000006","213.11111111111111","201.88888888888889"
"1","50","0","0.5","29","1512.9999999999989","700.5796277796279","812.4203722203722"
"7","50","0.05","0.5","39","2739.350000000001","1327.3326418679358","1412.0173581320637"
"2","50","0","0.5","13","834","407.1919191919192","426.80808080808083"
"5","50","0","0.5","31","1446.0000000000002","397.49890632243574","1048.5010936775643"
"8","50","0.05","0.5","15","1272.2000000000003","510.4491286491287","761.7508713508713"
"3","50","0","0.5","6","475.0000000000001","253.11111111111114","221.88888888888889"
"1","50","0","0.5","30","1567.9999999999995","729.7614459614459","838.2385540385542"
"2","50","0","0.5","14","937.9999999999999","464.8585858585858","473.1414141414142"
"5","50","0","0.5","32","1453.9999999999993","397.4989063224357","1056.5010936775643"
"7","50","0.05","0.5","40","2769.3000000000006","1347.0326418679358","1422.2673581320637"
"1","50","0","0.5","31","1704.9999999999995","803.0947792947793","901.9052207052209"
"3","50","0","0.5","7","538.0000000000001","279.1111111111111","258.8888888888889"
"2","50","0","0.5","15","1005.9999999999998","503.00144300144296","502.99855699855704"
"5","50","0","0.5","33","1505","421.0283180871416","1083.9716819128582"
"7","50","0.05","0.5","41","2825.8","1373.2604196457137","1452.539580354286"
"4","50","0","0.5","51","3338.0000000000014","1402.1161344675277","1935.8838655324726"
"1","50","0","0.5","32","1739.9999999999998","827.0947792947793","912.9052207052208"
"2","50","0","0.5","16","1074.0000000000002","530.2741702741702","543.7258297258298"
"8","50","0.05","0.5","16","1334.9999999999998","527.9991286491287","807.0008713508712"
"3","50","0","0.5","8","639.9999999999999","353.2929292929293","286.7070707070707"
"5","50","0","0.5","34","1601.9999999999995","471.02831808714166","1130.9716819128585"
"7","50","0.05","0.5","42","2887.65","1395.7604196457135","1491.8895803542862"
"1","50","0","0.5","33","1808.9999999999998","857.3675065675068","951.6324934324936"
"4","50","0","0.5","52","3365","1420.1161344675274","1944.8838655324723"
"2","50","0","0.5","17","1175.9999999999998","586.6271114506408","589.372888549359"
"8","50","0.05","0.5","17","1393.9","546.8491286491286","847.0508713508713"
"5","50","0","0.5","35","1715.9999999999993","491.0283180871416","1224.9716819128582"
"7","50","0.05","0.5","43","2951.600000000001","1415.004864090158","1536.5951359098417"
"3","50","0","0.5","9","792","424.2929292929292","367.7070707070707"
"6","50","0.05","0.5","45","2594.2500000000005","822.881561695958","1771.3684383040415"
"8","50","0.05","0.5","18","1493.05","604.3134143634144","888.7365856365856"
"2","50","0","0.5","18","1283","629.627111450641","653.3728885493591"
"5","50","0","0.5","36","1785.0000000000002","513.0283180871415","1271.9716819128582"
"7","50","0.05","0.5","44","2969.45","1423.6048640901581","1545.8451359098415"
"4","50","0","0.5","53","3469","1483.1161344675281","1985.8838655324726"
"2","50","0","0.5","19","1349","670.4842543077839","678.5157456922163"
"8","50","0.05","0.5","19","1597.1999999999998","640.9249528249527","956.2750471750472"
"5","50","0","0.5","37","1845.9999999999998","532.2388444029311","1313.7611555970689"
"7","50","0.05","0.5","45","2983.899999999999","1430.504864090158","1553.3951359098419"
"3","50","0","0.5","10","826.0000000000001","454.29292929292933","371.70707070707084"
"8","50","0.05","0.5","20","1699.1500000000003","670.0035242535241","1029.1464757464757"
"2","50","0","0.5","20","1419.0000000000002","703.7919466154761","715.2080533845241"
"5","50","0","0.5","38","1869.0000000000002","549.238844402931","1319.7611555970686"
"7","50","0.05","0.5","46","3035.1499999999996","1453.954864090158","1581.1951359098418"
"8","50","0.05","0.5","21","1758.1000000000001","704.6535242535242","1053.4464757464755"
"1","50","0","0.5","34","1835.9999999999995","876.3675065675066","959.6324934324934"
"6","50","0.05","0.5","46","2605.2","824.781561695958","1780.418438304042"
"4","50","0","0.5","54","3493.9999999999995","1501.1161344675281","1992.8838655324726"
"3","50","0","0.5","11","862","482.2929292929293","379.70707070707084"
"2","50","0","0.5","21","1490","726.7919466154761","763.2080533845242"
"8","50","0.05","0.5","22","1778.4000000000003","719.9035242535244","1058.4964757464759"
