"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:32:57:938 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"7","50","0.05","0","35","2085.75","0","2085.75"
"6","50","0.05","0","27","1540.2499999999998","0","1540.2499999999998"
"8","50","0.05","0","58","3382.3000000000006","0","3382.3000000000006"
"4","50","0","0","22","1228.9999999999998","0","1228.9999999999998"
"7","50","0.05","0","36","2218.15","0","2218.15"
"3","50","0","0","42","2346.9999999999995","0","2346.9999999999995"
"2","50","0","0","29","1973.0000000000002","0","1973.0000000000002"
"1","50","0","0","50","3422.0000000000005","0","3422.0000000000005"
"5","50","0","0","31","2124","0","2124"
"3","50","0","0","43","2443.9999999999995","0","2443.9999999999995"
"7","50","0.05","0","37","2281.4500000000003","0","2281.4500000000003"
"2","50","0","0","30","2067.9999999999995","0","2067.9999999999995"
"6","50","0.05","0","28","1633.4500000000003","0","1633.4500000000003"
"4","50","0","0","23","1242","0","1242"
"2","50","0","0","31","2125","0","2125"
"3","50","0","0","44","2499.9999999999995","0","2499.9999999999995"
"8","50","0.05","0","59","3444.350000000001","0","3444.350000000001"
"7","50","0.05","0","38","2332.5500000000006","0","2332.5500000000006"
"1","50","0","0","51","3560.999999999999","0","3560.999999999999"
"5","50","0","0","32","2186.9999999999995","0","2186.9999999999995"
"2","50","0","0","32","2141.0000000000005","0","2141.0000000000005"
"3","50","0","0","45","2553.0000000000005","0","2553.0000000000005"
"6","50","0.05","0","29","1693.6000000000004","0","1693.6000000000004"
"7","50","0.05","0","39","2386.55","0","2386.55"
"1","50","0","0","52","3618.9999999999995","0","3618.9999999999995"
"4","50","0","0","24","1380","0","1380"
"2","50","0","0","33","2198","0","2198"
"3","50","0","0","46","2694","0","2694"
"8","50","0.05","0","60","3453.450000000001","0","3453.450000000001"
"7","50","0.05","0","40","2401.9","0","2401.9"
"5","50","0","0","33","2247.9999999999995","0","2247.9999999999995"
"1","50","0","0","53","3629.999999999998","0","3629.999999999998"
"2","50","0","0","34","2296.0000000000005","0","2296.0000000000005"
"3","50","0","0","47","2757.000000000001","0","2757.000000000001"
"6","50","0.05","0","30","1749.95","0","1749.95"
"7","50","0.05","0","41","2495","0","2495"
"4","50","0","0","25","1442.9999999999998","0","1442.9999999999998"
"3","50","0","0","48","2889.000000000001","0","2889.000000000001"
"6","50","0.05","0","31","1767.2000000000007","0","1767.2000000000007"
"7","50","0.05","0","42","2510.2000000000007","0","2510.2000000000007"
"5","50","0","0","34","2302","0","2302"
"8","50","0.05","0","61","3466.7999999999993","0","3466.7999999999993"
"3","50","0","0","49","2908","0","2908"
"1","50","0","0","54","3682","0","3682"
"4","50","0","0","26","1503","0","1503"
"2","50","0","0","35","2392","0","2392"
"8","50","0.05","0","62","3475.350000000001","0","3475.350000000001"
"7","50","0.05","0","43","2523.4999999999995","0","2523.4999999999995"
"6","50","0.05","0","32","1817.55","0","1817.55"
"5","50","0","0","35","2364","0","2364"
"2","50","0","0","36","2413","0","2413"
"8","50","0.05","0","63","3575.55","0","3575.55"
"7","50","0.05","0","44","2572.8999999999996","0","2572.8999999999996"
"6","50","0.05","0","33","1830","0","1830"
"4","50","0","0","27","1553.0000000000007","0","1553.0000000000007"
"1","50","0","0","55","3738","0","3738"
"3","50","0","0","50","2961.9999999999995","0","2961.9999999999995"
"8","50","0.05","0","64","3669.9499999999994","0","3669.9499999999994"
"7","50","0.05","0","45","2633.7","0","2633.7"
"6","50","0.05","0","34","1845.1000000000001","0","1845.1000000000001"
"4","50","0","0","28","1610.0000000000002","0","1610.0000000000002"
"2","50","0","0","37","2434.0000000000005","0","2434.0000000000005"
"1","50","0","0","56","3795.0000000000005","0","3795.0000000000005"
"8","50","0.05","0","65","3722.2999999999997","0","3722.2999999999997"
"5","50","0","0","36","2385","0","2385"
"6","50","0.05","0","35","1977.35","0","1977.35"
"1","50","0","0","57","3813","0","3813"
"3","50","0","0","51","3015.999999999999","0","3015.999999999999"
"7","50","0.05","0","46","2759.9","0","2759.9"
"4","50","0","0","29","1742","0","1742"
"6","50","0.05","0","36","2037.6500000000003","0","2037.6500000000003"
"8","50","0.05","0","66","3734.5499999999997","0","3734.5499999999997"
"5","50","0","0","37","2442.0000000000005","0","2442.0000000000005"
"2","50","0","0","38","2449.0000000000005","0","2449.0000000000005"
"1","50","0","0","58","3828","0","3828"
"7","50","0.05","0","47","2890.3999999999996","0","2890.3999999999996"
"6","50","0.05","0","37","2131.0499999999997","0","2131.0499999999997"
"8","50","0.05","0","67","3747.7500000000005","0","3747.7500000000005"
"4","50","0","0","30","1799","0","1799"
"7","50","0.05","0","48","2903.75","0","2903.75"
"3","50","0","0","52","3114.999999999999","0","3114.999999999999"
"1","50","0","0","59","3837.9999999999995","0","3837.9999999999995"
"8","50","0.05","0","68","3798.35","0","3798.35"
"5","50","0","0","38","2455.0000000000005","0","2455.0000000000005"
"2","50","0","0","39","2549.999999999999","0","2549.999999999999"
"1","50","0","0","60","3890.0000000000005","0","3890.0000000000005"
"6","50","0.05","0","38","2184.25","0","2184.25"
"8","50","0.05","0","69","3859.7999999999993","0","3859.7999999999993"
"4","50","0","0","31","1813.9999999999998","0","1813.9999999999998"
"7","50","0.05","0","49","2954.95","0","2954.95"
"3","50","0","0","53","3172.0000000000005","0","3172.0000000000005"
"5","50","0","0","39","2512.0000000000005","0","2512.0000000000005"
"6","50","0.05","0","39","2238","0","2238"
"1","50","0","0","61","3944.000000000001","0","3944.000000000001"
"8","50","0.05","0","70","3992.95","0","3992.95"
"4","50","0","0","32","1826.9999999999995","0","1826.9999999999995"
"7","50","0.05","0","50","2964.1499999999996","0","2964.1499999999996"
"2","50","0","0","40","2567.0000000000005","0","2567.0000000000005"
"5","50","0","0","40","2521.9999999999995","0","2521.9999999999995"
"1","50","0","0","62","3999","0","3999"
"6","50","0.05","0","40","2251.3999999999996","0","2251.3999999999996"
"8","50","0.05","0","71","4047.500000000001","0","4047.500000000001"
"4","50","0","0","33","1883","0","1883"
"7","50","0.05","0","51","3019.5499999999997","0","3019.5499999999997"
"5","50","0","0","41","2540.9999999999995","0","2540.9999999999995"
"3","50","0","0","54","3269.9999999999995","0","3269.9999999999995"
"6","50","0.05","0","41","2264.9999999999995","0","2264.9999999999995"
"1","50","0","0","63","4059.0000000000005","0","4059.0000000000005"
"8","50","0.05","0","72","4062.9000000000005","0","4062.9000000000005"
"4","50","0","0","34","1942.9999999999995","0","1942.9999999999995"
"2","50","0","0","41","2579.999999999999","0","2579.999999999999"
"7","50","0.05","0","52","3156.6500000000005","0","3156.6500000000005"
"5","50","0","0","42","2602.9999999999995","0","2602.9999999999995"
"6","50","0.05","0","42","2322.2000000000007","0","2322.2000000000007"
"4","50","0","0","35","2039.0000000000002","0","2039.0000000000002"
"8","50","0.05","0","73","4156.1","0","4156.1"
"1","50","0","0","64","4111.999999999999","0","4111.999999999999"
"7","50","0.05","0","53","3208.95","0","3208.95"
"5","50","0","0","43","2664.9999999999995","0","2664.9999999999995"
"3","50","0","0","55","3325.999999999999","0","3325.999999999999"
"6","50","0.05","0","43","2376.95","0","2376.95"
"4","50","0","0","36","2050","0","2050"
"8","50","0.05","0","74","4213.65","0","4213.65"
"1","50","0","0","65","4248.000000000002","0","4248.000000000002"
"7","50","0.05","0","54","3260.2499999999995","0","3260.2499999999995"
"2","50","0","0","42","2634.0000000000005","0","2634.0000000000005"
"6","50","0.05","0","44","2431.1499999999996","0","2431.1499999999996"
"4","50","0","0","37","2067.0000000000005","0","2067.0000000000005"
"5","50","0","0","44","2800.9999999999995","0","2800.9999999999995"
"8","50","0.05","0","75","4264.1","0","4264.1"
"1","50","0","0","66","4341.000000000001","0","4341.000000000001"
"7","50","0.05","0","55","3390.7","0","3390.7"
"3","50","0","0","56","3345.000000000001","0","3345.000000000001"
"4","50","0","0","38","2086.0000000000005","0","2086.0000000000005"
"2","50","0","0","43","2689","0","2689"
"8","50","0.05","0","76","4280.200000000001","0","4280.200000000001"
"7","50","0.05","0","56","3522.1","0","3522.1"
"1","50","0","0","67","4356","0","4356"
"4","50","0","0","39","2221.0000000000005","0","2221.0000000000005"
"2","50","0","0","44","2707.999999999999","0","2707.999999999999"
"6","50","0.05","0","45","2572.5499999999993","0","2572.5499999999993"
"8","50","0.05","0","77","4382.800000000001","0","4382.800000000001"
"7","50","0.05","0","57","3541.3000000000006","0","3541.3000000000006"
"1","50","0","0","68","4488.000000000001","0","4488.000000000001"
"2","50","0","0","45","2760.999999999999","0","2760.999999999999"
"4","50","0","0","40","2279","0","2279"
"3","50","0","0","57","3357","0","3357"
"8","50","0.05","0","78","4478.150000000001","0","4478.150000000001"
"7","50","0.05","0","58","3553.7999999999997","0","3553.7999999999997"
"4","50","0","0","41","2335.9999999999995","0","2335.9999999999995"
"2","50","0","0","46","2815.999999999999","0","2815.999999999999"
"1","50","0","0","69","4502.000000000001","0","4502.000000000001"
"8","50","0.05","0","79","4534.600000000001","0","4534.600000000001"
"6","50","0.05","0","46","2624.7999999999997","0","2624.7999999999997"
"5","50","0","0","45","2815.000000000001","0","2815.000000000001"
"7","50","0.05","0","59","3570.8500000000004","0","3570.8500000000004"
"4","50","0","0","42","2437.0000000000005","0","2437.0000000000005"
"2","50","0","0","47","2912.9999999999995","0","2912.9999999999995"
"3","50","0","0","58","3409.000000000002","0","3409.000000000002"
"1","50","0","0","70","4515.999999999999","0","4515.999999999999"
"8","50","0.05","0","80","4672.85","0","4672.85"
"5","50","0","0","46","2830.0000000000005","0","2830.0000000000005"
"7","50","0.05","0","60","3628.2000000000003","0","3628.2000000000003"
"4","50","0","0","43","2456","0","2456"
"2","50","0","0","48","3009.999999999999","0","3009.999999999999"
"3","50","0","0","59","3511.000000000001","0","3511.000000000001"
"8","50","0.05","0","81","4813.4","0","4813.4"
"5","50","0","0","47","2966.9999999999995","0","2966.9999999999995"
"7","50","0.05","0","61","3685.6","0","3685.6"
"4","50","0","0","44","2465.999999999999","0","2465.999999999999"
"6","50","0.05","0","47","2758.1","0","2758.1"
"2","50","0","0","49","3071.999999999999","0","3071.999999999999"
"3","50","0","0","60","3561.0000000000005","0","3561.0000000000005"
