"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:35:33:103 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"4","50","0","1","26","1637.9999999999998","1637.9999999999998","0"
"8","50","0.05","1","34","2353.95","2353.95","0"
"6","50","0.05","1","22","1194.0999999999995","1194.0999999999995","0"
"3","50","0","1","41","2728.0000000000005","2728.0000000000005","0"
"5","50","0","1","34","2415.0000000000005","2415.0000000000005","0"
"1","50","0","1","25","1377.9999999999998","1377.9999999999998","0"
"7","50","0.05","1","36","2585.7000000000003","2585.7000000000003","0"
"4","50","0","1","27","1738.9999999999995","1738.9999999999995","0"
"6","50","0.05","1","23","1298.8999999999996","1298.8999999999996","0"
"8","50","0.05","1","35","2436.5499999999997","2436.5499999999997","0"
"3","50","0","1","42","2809","2809","0"
"5","50","0","1","35","2541.0000000000005","2541.0000000000005","0"
"1","50","0","1","26","1425.0000000000002","1425.0000000000002","0"
"2","50","0","1","33","2274.9999999999995","2274.9999999999995","0"
"7","50","0.05","1","37","2660.1","2660.1","0"
"6","50","0.05","1","24","1324.2999999999997","1324.2999999999997","0"
"8","50","0.05","1","36","2509.8000000000006","2509.8000000000006","0"
"3","50","0","1","43","2882.999999999999","2882.999999999999","0"
"5","50","0","1","36","2618","2618","0"
"4","50","0","1","28","1821.9999999999998","1821.9999999999998","0"
"6","50","0.05","1","25","1343.9999999999995","1343.9999999999995","0"
"5","50","0","1","37","2694.9999999999995","2694.9999999999995","0"
"8","50","0.05","1","37","2535.850000000001","2535.850000000001","0"
"3","50","0","1","44","2952.9999999999995","2952.9999999999995","0"
"7","50","0.05","1","38","2778.55","2778.55","0"
"2","50","0","1","34","2332.0000000000005","2332.0000000000005","0"
"6","50","0.05","1","26","1441.8999999999992","1441.8999999999992","0"
"5","50","0","1","38","2812.000000000001","2812.000000000001","0"
"8","50","0.05","1","38","2595.499999999999","2595.499999999999","0"
"3","50","0","1","45","2978","2978","0"
"7","50","0.05","1","39","2894.7500000000005","2894.7500000000005","0"
"6","50","0.05","1","27","1459.4999999999995","1459.4999999999995","0"
"4","50","0","1","29","1983","1983","0"
"5","50","0","1","39","2844.000000000001","2844.000000000001","0"
