"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"05/07/2018 00:39:06:388 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"5","50","0","1","37","3021.000000000001","3021.000000000001","0","0","0"
"4","50","0","1","32","2378","2378","0","0","0"
"6","50","0.05","1","32","3009.900000000001","3009.900000000001","0","0","0"
"7","50","0.05","1","35","2523.2500000000014","2523.2500000000014","0","0","0"
"5","50","0","1","38","3108","3108","0","0","0"
"3","50","0","1","31","2253","2253","0","0","0"
"8","50","0.05","1","42","2728.850000000001","2728.850000000001","0","0","0"
"7","50","0.05","1","36","2610.000000000001","2610.000000000001","0","0","0"
"4","50","0","1","33","2428","2428","0","0","0"
"6","50","0.05","1","33","3135.550000000001","3135.550000000001","0","0","0"
"5","50","0","1","39","3192.999999999999","3192.999999999999","0","0","0"
"7","50","0.05","1","37","2658.8","2658.8","0","0","0"
"8","50","0.05","1","43","2775.6000000000004","2775.6000000000004","0","0","0"
"4","50","0","1","34","2477.0000000000005","2477.0000000000005","0","0","0"
"2","50","0","1","29","2201","2201","0","0","0"
"3","50","0","1","32","2340","2340","0","0","0"
"5","50","0","1","40","3320","3320","0","0","0"
"7","50","0.05","1","38","2745.6000000000013","2745.6000000000013","0","0","0"
"6","50","0.05","1","34","3184.300000000001","3184.300000000001","0","0","0"
"4","50","0","1","35","2524","2524","0","0","0"
"2","50","0","1","30","2366","2366","0","0","0"
"8","50","0.05","1","44","2825.450000000001","2825.450000000001","0","0","0"
"5","50","0","1","41","3446.9999999999995","3446.9999999999995","0","0","0"
"7","50","0.05","1","39","2795.450000000001","2795.450000000001","0","0","0"
"2","50","0","1","31","2413","2413","0","0","0"
"4","50","0","1","36","2612.0000000000005","2612.0000000000005","0","0","0"
"6","50","0.05","1","35","3231.1000000000013","3231.1000000000013","0","0","0"
"8","50","0.05","1","45","2874.400000000001","2874.400000000001","0","0","0"
"7","50","0.05","1","40","2883.3500000000017","2883.3500000000017","0","0","0"
"3","50","0","1","33","2425.0000000000005","2425.0000000000005","0","0","0"
"5","50","0","1","42","3574.9999999999995","3574.9999999999995","0","0","0"
"2","50","0","1","32","2540","2540","0","0","0"
"4","50","0","1","37","2740","2740","0","0","0"
"7","50","0.05","1","41","2972.200000000001","2972.200000000001","0","0","0"
"5","50","0","1","43","3624","3624","0","0","0"
"2","50","0","1","33","2666","2666","0","0","0"
"6","50","0.05","1","36","3357.800000000001","3357.800000000001","0","0","0"
"4","50","0","1","38","2788","2788","0","0","0"
"3","50","0","1","34","2470","2470","0","0","0"
"8","50","0.05","1","46","2961.2000000000007","2961.2000000000007","0","0","0"
"7","50","0.05","1","42","3021.1000000000017","3021.1000000000017","0","0","0"
"5","50","0","1","44","3671.0000000000005","3671.0000000000005","0","0","0"
"2","50","0","1","34","2755","2755","0","0","0"
"6","50","0.05","1","37","3446.6000000000017","3446.6000000000017","0","0","0"
"3","50","0","1","35","2520","2520","0","0","0"
"8","50","0.05","1","47","3088.9500000000016","3088.9500000000016","0","0","0"
"2","50","0","1","35","2804","2804","0","0","0"
"5","50","0","1","45","3721.000000000001","3721.000000000001","0","0","0"
