"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure agent variance"
"05/14/2018 23:04:25:507 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","106","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2","agent-variance"
"8","50","0","0","41","1900.0000000000005","0","50","0","163.54814814814816"
"3","50","0","0","27","826.9999999999998","2","24","24","234.68888888888887"
"6","50","0","0","37","1504.9999999999998","11","6","33","193.86666666666667"
"2","50","0","0","44","1817.9999999999998","6","3","41","120.94074074074075"
"7","50","0","0","36","2165","13","14","23","128.1925925925926"
"1","50","0","0","13","665","17","10","23","151.79259259259263"
"3","50","0","0","28","955.0000000000006","8","15","27","235.01481481481483"
"6","50","0","0","38","1554.0000000000002","9","38","3","193.86666666666665"
"2","50","0","0","45","1820.9999999999998","3","34","13","129.94074074074075"
"5","50","0","0","35","1390.9999999999998","20","7","23","234.8962962962963"
"7","50","0","0","37","2165.0000000000005","0","21","29","130.2296296296296"
"8","50","0","0","42","1940.0000000000002","0","11","39","161.37037037037035"
"4","50","0","0","20","1104.0000000000005","3","6","41","194.54814814814813"
"5","50","0","0","36","1393.0000000000002","2","48","0","236.91111111111107"
"6","50","0","0","39","1572.9999999999998","19","19","12","198.0074074074074"
"2","50","0","0","46","1865.9999999999998","5","21","24","122.80740740740741"
"3","50","0","0","29","1063.0000000000002","28","17","5","238.3925925925926"
"7","50","0","0","38","2289","4","2","44","145.65185185185186"
"8","50","0","0","43","1991.9999999999998","12","11","27","162.4"
"4","50","0","0","21","1104.0000000000002","0","46","4","191.4"
"5","50","0","0","37","1392.9999999999993","0","3","47","233.56296296296296"
"2","50","0","0","47","1875.9999999999995","10","38","2","138.79259259259257"
"6","50","0","0","40","1573.0000000000005","0","39","11","195.8740740740741"
"3","50","0","0","30","1064.0000000000002","1","1","48","235.8222222222222"
