"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/14/2018 22:07:36:339 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","106","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"4","50","0","1","44","1611.9999999999998","15","22","13"
"7","50","0","1","41","1698.9999999999995","13","20","17"
"3","50","0","1","50","2005.9999999999998","0","49","1"
"5","50","0","1","49","1724.0000000000005","0","3","47"
"8","50","0","1","48","1593.9999999999998","7","3","40"
"2","50","0","1","36","2139.000000000001","0","47","3"
"7","50","0","1","42","1788.0000000000002","9","30","11"
"3","50","0","1","51","2006.9999999999995","1","0","49"
"1","50","0","1","27","1584.9999999999998","10","17","23"
"2","50","0","1","37","2185.9999999999995","7","10","33"
"4","50","0","1","45","1612","0","0","50"
"6","50","0","1","41","2286.9999999999995","5","36","9"
"7","50","0","1","43","1788","0","42","8"
"3","50","0","1","52","2020.9999999999995","14","32","4"
"8","50","0","1","49","1597.9999999999998","4","43","3"
"2","50","0","1","38","2245.0000000000005","19","22","9"
"7","50","0","1","44","1801.9999999999995","14","16","20"
"3","50","0","1","53","2022.999999999999","2","17","31"
"5","50","0","1","50","1777.9999999999998","14","7","29"
"2","50","0","1","39","2339","14","23","13"
"6","50","0","1","42","2341","14","6","30"
"7","50","0","1","45","1802.0000000000005","0","0","50"
"3","50","0","1","54","2043.9999999999993","21","8","21"
"5","50","0","1","51","1786.0000000000002","8","41","1"
"2","50","0","1","40","2379","0","2","48"
"3","50","0","1","55","2043.9999999999995","0","49","1"
"7","50","0","1","46","1859.0000000000007","17","13","20"
"4","50","0","1","46","1652","0","41","9"
"8","50","0","1","50","1723.9999999999998","6","5","39"
"5","50","0","1","52","1786.0000000000002","0","47","3"
"2","50","0","1","41","2419","0","47","3"
"3","50","0","1","56","2044.9999999999995","1","0","49"
"4","50","0","1","47","1660","8","28","14"
"6","50","0","1","43","2398.000000000001","17","19","14"
"7","50","0","1","47","1906.9999999999995","8","34","8"
"5","50","0","1","53","1839.9999999999995","14","15","21"
"2","50","0","1","42","2546","7","10","33"
"3","50","0","1","57","2098.999999999999","14","32","4"
"7","50","0","1","48","1907.999999999999","1","40","9"
"1","50","0","1","28","1678.0000000000002","13","18","19"
"4","50","0","1","48","1674.9999999999998","15","15","20"
"2","50","0","1","43","2565","19","22","9"
"3","50","0","1","58","2140.999999999999","2","17","31"
"8","50","0","1","51","1822.9999999999993","19","17","14"
"5","50","0","1","54","1879.9999999999995","0","1","49"
"7","50","0","1","49","1997","9","21","20"
"1","50","0","1","29","1758.0000000000002","0","48","2"
"6","50","0","1","44","2401.000000000001","3","36","11"
"8","50","0","1","52","1904.9999999999995","2","39","9"
"2","50","0","1","44","2619.0000000000005","14","23","13"
"3","50","0","1","59","2241.999999999999","21","8","21"
"5","50","0","1","55","1884.9999999999998","5","7","38"
"7","50","0","1","50","2117.0000000000005","0","2","48"
"4","50","0","1","49","1770","15","22","13"
"3","50","0","1","60","2241.999999999999","0","49","1"
"2","50","0","1","45","2658.9999999999995","0","2","48"
"5","50","0","1","56","1935.0000000000007","10","34","6"
"7","50","0","1","51","2176","19","9","22"
"1","50","0","1","30","1810.0000000000007","12","24","14"
"8","50","0","1","53","1951.9999999999998","7","3","40"
"5","50","0","1","57","1934.9999999999998","0","47","3"
"2","50","0","1","46","2658.999999999999","0","47","3"
"6","50","0","1","45","2400.9999999999995","0","4","46"
